"_defaultColorIndex","id","intrinsic-dimension","log-likelihood","name"
"2","gm9zq3sv","309.825927734375","8995.197265625","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","266.14599609375","9257.25","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","349.340576171875","9121.955078125","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","208.496826171875","10381.734375","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","115.42138671875","12228.3291015625","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","504.1083984375","7140.29248046875","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","261.9541015625","10088.515625","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","317.42431640625","9007.4755859375","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","307.162353515625","9165.064453125","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","342.568115234375","7870.65771484375","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","230.43310546875","10122.291015625","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","343.489501953125","8339.6435546875","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","256.093017578125","9966.701171875","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","333.486083984375","9377.6806640625","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","475.549072265625","7283.6337890625","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","288.852783203125","9846.2646484375","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","404.70751953125","7781.61572265625","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","401.5439453125","8332.810546875","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","360.08544921875","8273.2666015625","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","163.3818359375","11048.564453125","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","302.56298828125","8656.330078125","cifar10_vs_cifar10_test_megger"
"1","smumtodm","66.387451171875","12357.9052734375","svhn_vs_svhn_test_enjamb"
"1","smumtodm","100.01123046875","12589.61328125","svhn_vs_svhn_test_enjamb"
"1","smumtodm","126.79248046875","12175.4345703125","svhn_vs_svhn_test_enjamb"
"1","smumtodm","105.365478515625","12230.916015625","svhn_vs_svhn_test_enjamb"
"1","smumtodm","47.54833984375","13720.521484375","svhn_vs_svhn_test_enjamb"
"1","smumtodm","56.665283203125","13599.248046875","svhn_vs_svhn_test_enjamb"
