"JEM Vol","_defaultColorIndex","density","id","name"
"43106.5546875","1","0.005859375001879891","2nevxyke","cifar10_vs_svhn_test_lipomata"
"46078.9765625","1","0","2nevxyke","cifar10_vs_svhn_test_lipomata"
"49051.3984375","1","0.0009765625003133151","2nevxyke","cifar10_vs_svhn_test_lipomata"
"52023.8203125","1","0","2nevxyke","cifar10_vs_svhn_test_lipomata"
"54996.2421875","1","0.0029296875009399456","2nevxyke","cifar10_vs_svhn_test_lipomata"
"57968.6640625","1","0","2nevxyke","cifar10_vs_svhn_test_lipomata"
"60941.0859375","1","0","2nevxyke","cifar10_vs_svhn_test_lipomata"
"63913.5078125","1","0.0019531250006266303","2nevxyke","cifar10_vs_svhn_test_lipomata"
"66885.9296875","1","0","2nevxyke","cifar10_vs_svhn_test_lipomata"
"69858.3515625","1","0","2nevxyke","cifar10_vs_svhn_test_lipomata"
"72830.7734375","1","0.0019531250006266303","2nevxyke","cifar10_vs_svhn_test_lipomata"
"75803.1953125","1","0","2nevxyke","cifar10_vs_svhn_test_lipomata"
"-1124.830322265625","0","0","bebjo9n8","cifar10_vs_celeba-small_test_loanin"
"1135.04248046875","0","0.972689073643393","bebjo9n8","cifar10_vs_celeba-small_test_loanin"
"3394.9150390625","0","0.002100840104883296","bebjo9n8","cifar10_vs_celeba-small_test_loanin"
"5654.7880859375","0","0.002100840331843181","bebjo9n8","cifar10_vs_celeba-small_test_loanin"
"7914.66015625","0","0.004201680663686362","bebjo9n8","cifar10_vs_celeba-small_test_loanin"
"10174.533203125","0","0","bebjo9n8","cifar10_vs_celeba-small_test_loanin"
"12434.40625","0","0.0021008407857630988","bebjo9n8","cifar10_vs_celeba-small_test_loanin"
"14694.2783203125","0","0","bebjo9n8","cifar10_vs_celeba-small_test_loanin"
"16954.15234375","0","0","bebjo9n8","cifar10_vs_celeba-small_test_loanin"
"19214.0234375","0","0.0021008416936035214","bebjo9n8","cifar10_vs_celeba-small_test_loanin"
"21473.89453125","0","0.00420167975584692","bebjo9n8","cifar10_vs_celeba-small_test_loanin"
"23733.76953125","0","0.00210083987792346","bebjo9n8","cifar10_vs_celeba-small_test_loanin"
"25993.640625","0","0","bebjo9n8","cifar10_vs_celeba-small_test_loanin"
"28253.515625","0","0","bebjo9n8","cifar10_vs_celeba-small_test_loanin"
"30513.38671875","0","0.0021008416936035214","bebjo9n8","cifar10_vs_celeba-small_test_loanin"
"32773.2578125","0","0","bebjo9n8","cifar10_vs_celeba-small_test_loanin"
"35033.1328125","0","0","bebjo9n8","cifar10_vs_celeba-small_test_loanin"
"37293.00390625","0","0","bebjo9n8","cifar10_vs_celeba-small_test_loanin"
"39552.875","0","0.0021008416936035214","bebjo9n8","cifar10_vs_celeba-small_test_loanin"
"41812.75","0","0.0021008380622465368","bebjo9n8","cifar10_vs_celeba-small_test_loanin"
"44072.625","0","0","bebjo9n8","cifar10_vs_celeba-small_test_loanin"
"46332.4921875","0","0","bebjo9n8","cifar10_vs_celeba-small_test_loanin"
"48592.3671875","0","0","bebjo9n8","cifar10_vs_celeba-small_test_loanin"
"50852.2421875","0","0","bebjo9n8","cifar10_vs_celeba-small_test_loanin"
"53112.11328125","0","0","bebjo9n8","cifar10_vs_celeba-small_test_loanin"
"55371.984375","0","0.0021008416936035214","bebjo9n8","cifar10_vs_celeba-small_test_loanin"
"57631.85546875","0","0","bebjo9n8","cifar10_vs_celeba-small_test_loanin"
